disease,symptoms,medicines
influenza,"fever|cough|sore throat|fatigue|body aches","oseltamivir (tamiflu)|acetaminophen|ibuprofen"
hypertension (high blood pressure),"headaches|dizziness|chest pain|shortness of breath|vision problems","lisinopril|amlodipine|hydrochlorothiazide"
type 2 diabetes,"excessive thirst|frequent urination|fatigue|blurred vision|slow wound healing","metformin|insulin|glipizide"
allergic rhinitis (hay fever),"sneezing|runny or stuffy nose|itchy or watery eyes|fatigue|cough","loratadine|cetirizine|fluticasone nasal spray"
gastroenteritis,"diarrhea|vomiting|abdominal pain|nausea|fever","oral rehydration solution (ors)|loperamide|ondansetron"
migraine,"severe headache|nausea|sensitivity to light and sound|visual disturbances (auras)|vomiting","sumatriptan|ibuprofen|naproxen"
pneumonia,"high fever|cough with mucus|chest pain|shortness of breath|fatigue","antibiotics (e.g., amoxicillin)|acetaminophen|oxygen therapy (in severe cases)"
asthma,"wheezing|shortness of breath|coughing|chest tightness|increased mucus production","albuterol inhaler|inhaled corticosteroids (e.g., fluticasone)|montelukast"
urinary tract infection (uti),"painful urination|frequent urination|blood in urine|lower abdominal pain|urinary urgency","antibiotics (e.g., ciprofloxacin)|phenazopyridine|drinking plenty of water"
osteoarthritis,"joint pain|joint stiffness|decreased range of motion|swelling in affected joints|crepitus (grating sensation)","acetaminophen|nonsteroidal anti-inflammatory drugs (e.g., ibuprofen)|physical therapy"
hypothyroidism,"fatigue|weight gain|cold intolerance|dry skin|depression","levothyroxine|liothyronine"
rheumatoid arthritis,"joint pain|joint swelling|stiffness|fatigue|fever","methotrexate|hydroxychloroquine|tumor necrosis factor inhibitors"
common cold,"runny or stuffy nose|sneezing|cough|sore throat|watery eyes","rest|fluids|over-the-counter cold medications"
malaria,"fever|chills|sweating|headache|fatigue","antimalarial drugs (e.g., chloroquine, artemisinin-based combination therapy)"
lung cancer,"persistent cough|chest pain|shortness of breath|unintended weight loss|coughing up blood","chemotherapy|radiation therapy|targeted therapy"
diabetes insipidus,"excessive thirst|excessive urination|dehydration|fatigue|confusion","desmopressin"
crohn's disease,"abdominal pain|diarrhea|fatigue|weight loss|blood in stool","anti-inflammatory drugs|immunosuppressants"
parkinson's disease,"tremors|bradykinesia (slowness of movement)|muscle rigidity|postural instability|sleep disturbances","levodopa|dopamine agonists|anticholinergic drugs"
alzheimer's disease,"memory loss|confusion|difficulty in problem-solving|mood swings|agitation","cholinesterase inhibitors|memantine"
pancreatitis,"abdominal pain|nausea|vomiting|fever|tenderness in the abdomen","fasting|intravenous fluids|pain management"
rheumatoid arthritis,"joint pain|joint swelling|stiffness|fatigue|fever","methotrexate|hydroxychloroquine|tumor necrosis factor inhibitors"
lupus (systemic lupus erythematosus),"fatigue|joint pain|skin rashes|photosensitivity|kidney problems","hydroxychloroquine|corticosteroids|immunosuppressants"
copd (chronic obstructive pulmonary disease),"shortness of breath|chronic cough|excess mucus production|wheezing|chest tightness","bronchodilators|inhaled corticosteroids|oxygen therapy"
hepatitis c,"fatigue|jaundice|abdominal pain|loss of appetite|dark urine","direct-acting antiviral drugs (e.g., sofosbuvir, ledipasvir)"
covid-19,"fever|cough|shortness of breath|loss of taste or smell|muscle aches","vaccination|antiviral medication (e.g., remdesivir)|symptomatic treatment"
hiv/aids,"fever|fatigue|swollen lymph nodes|weight loss|opportunistic infections","antiretroviral therapy (art)|prophylactic antibiotics"
